"locus","chr","start","stop","processed","K","n_snps","h2_ASD","h2_SCZ","p_ASD","p_SCZ","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p"
1341,8,113650854,114781574,TRUE,96,2264,NA,0.000227673,NA,0.0233056,FALSE,NA,NA,NA,NA,NA,NA
1342,8,114781575,115334858,TRUE,110,1483,0.00045838,0.000145846,0.0816296,0.105144,FALSE,NA,NA,NA,NA,NA,NA
1343,8,115334859,116094203,TRUE,101,1881,0.000601727,0.000316705,0.0319351,0.00446474,TRUE,-0.274441,-0.274441,FALSE,-1,0.61126,0.473446
1344,8,116094204,118300068,TRUE,403,3165,9.65249e-05,0.000878722,0.428387,9.97255e-05,FALSE,NA,NA,NA,NA,NA,NA
1345,8,118300069,119423298,TRUE,311,2130,NA,0.000761261,NA,0.000154281,FALSE,NA,NA,NA,NA,NA,NA
1346,8,119423299,120216587,TRUE,198,1946,NA,0.000246643,NA,0.0591091,FALSE,NA,NA,NA,NA,NA,NA
1347,8,120216588,121554390,TRUE,258,2902,NA,0.000780159,NA,3.31118e-05,FALSE,NA,NA,NA,NA,NA,NA
1348,8,121554391,122622804,TRUE,289,2478,NA,0.000192305,NA,0.150204,FALSE,NA,NA,NA,NA,NA,NA
1349,8,122622805,124001019,TRUE,343,2411,NA,0.000357826,NA,0.0421786,FALSE,NA,NA,NA,NA,NA,NA
1350,8,124001020,125453322,TRUE,397,2995,NA,0.00020047,NA,0.176854,FALSE,NA,NA,NA,NA,NA,NA
1351,8,125453323,126766827,TRUE,381,2897,NA,0.000145791,NA,0.242448,FALSE,NA,NA,NA,NA,NA,NA
1352,8,126766828,128073654,TRUE,368,2950,NA,7.50333e-06,NA,0.475885,FALSE,NA,NA,NA,NA,NA,NA
1353,8,128073655,129291118,TRUE,530,3025,0.00133542,0.000772313,0.03184,0.00175191,TRUE,-0.288129,-0.288129,FALSE,-1,0.44121,0.38792
1354,8,129291119,130383563,TRUE,236,2417,NA,8.34866e-05,NA,0.301252,FALSE,NA,NA,NA,NA,NA,NA
1355,8,130383564,131545725,TRUE,272,2698,0.00028485,0.000144852,0.279013,0.207354,FALSE,NA,NA,NA,NA,NA,NA
1356,8,131545726,132534636,TRUE,318,2566,NA,0.00020632,NA,0.144812,FALSE,NA,NA,NA,NA,NA,NA
1357,8,132534637,133461551,TRUE,265,2373,NA,0.000597832,NA,0.00096234,FALSE,NA,NA,NA,NA,NA,NA
1358,8,133461552,134509448,TRUE,397,2584,NA,0.00019742,NA,0.180636,FALSE,NA,NA,NA,NA,NA,NA
1359,8,134509449,135313673,TRUE,375,2600,NA,0.000317637,NA,0.0701874,FALSE,NA,NA,NA,NA,NA,NA
1360,8,135313674,136220342,TRUE,300,2215,0.000394375,0.00067805,0.223938,0.000471007,FALSE,NA,NA,NA,NA,NA,NA
1361,8,136220343,137527617,TRUE,272,3044,0.000258712,0.000176495,0.296201,0.163401,FALSE,NA,NA,NA,NA,NA,NA
1362,8,137527618,138564843,TRUE,234,2879,NA,0.000175767,NA,0.147162,FALSE,NA,NA,NA,NA,NA,NA
1363,8,138564844,139404631,TRUE,286,2225,NA,0.000182585,NA,0.161821,FALSE,NA,NA,NA,NA,NA,NA
1364,8,139404632,140355988,TRUE,275,2215,NA,0.0004364,NA,0.0108968,FALSE,NA,NA,NA,NA,NA,NA
1365,8,140355989,141527881,TRUE,405,2643,0.000658717,0.000215603,0.142113,0.162998,FALSE,NA,NA,NA,NA,NA,NA
1366,8,141527882,142611889,TRUE,361,2352,NA,0.000432807,NA,0.0219772,FALSE,NA,NA,NA,NA,NA,NA
1367,8,142611890,143611461,TRUE,292,2292,NA,0.00108665,NA,1.53215e-07,FALSE,NA,NA,NA,NA,NA,NA
1368,8,143611462,144934288,TRUE,371,3245,0.000475834,0.00138737,0.206432,3.31831e-09,FALSE,NA,NA,NA,NA,NA,NA
1369,8,144934289,146303787,TRUE,194,1425,NA,0.000159706,NA,0.149918,FALSE,NA,NA,NA,NA,NA,NA
1370,9,10469,653661,TRUE,225,1587,NA,0.000526661,NA,0.00144649,FALSE,NA,NA,NA,NA,NA,NA
1371,9,653662,1103598,TRUE,256,1396,0.000511288,0.000397925,0.147694,0.0147203,FALSE,NA,NA,NA,NA,NA,NA
1372,9,1103599,1874961,TRUE,359,2463,0.00126246,0.000598359,0.0177644,0.00310567,TRUE,0.069404,0.069404,FALSE,-0.78372,0.96979,0.833196
1373,9,1874962,2441120,TRUE,325,1529,NA,0.000128208,NA,0.251983,FALSE,NA,NA,NA,NA,NA,NA
1374,9,2441121,3079045,TRUE,303,1604,NA,0.000239722,NA,0.106006,FALSE,NA,NA,NA,NA,NA,NA
1375,9,3079046,4025355,TRUE,380,1938,NA,0.000579733,NA,0.00482561,FALSE,NA,NA,NA,NA,NA,NA
1376,9,4025356,4596614,TRUE,370,1719,NA,0.000186614,NA,0.185269,FALSE,NA,NA,NA,NA,NA,NA
1377,9,4596615,5437591,TRUE,277,1857,NA,0.000173315,NA,0.168238,FALSE,NA,NA,NA,NA,NA,NA
1378,9,5437592,6859791,TRUE,484,3191,NA,0.00103571,NA,3.34152e-05,FALSE,NA,NA,NA,NA,NA,NA
1379,9,6859792,7388202,TRUE,264,1936,NA,0.000542795,NA,0.00223433,FALSE,NA,NA,NA,NA,NA,NA
1380,9,7388203,8262303,TRUE,430,2487,NA,0.000463172,NA,0.0238371,FALSE,NA,NA,NA,NA,NA,NA
1381,9,8262304,9170120,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,9,9170121,9920258,TRUE,342,2250,NA,8.66608e-05,NA,0.326692,FALSE,NA,NA,NA,NA,NA,NA
1383,9,9920259,10675474,TRUE,336,2455,0.00012314,0.000529717,0.403366,0.00593259,FALSE,NA,NA,NA,NA,NA,NA
1384,9,10675475,11270764,TRUE,191,1773,0.00053913,0.000342021,0.103646,0.0157623,FALSE,NA,NA,NA,NA,NA,NA
1385,9,11270765,12044915,TRUE,135,2438,0.00016522,0.000289905,0.309249,0.0161286,FALSE,NA,NA,NA,NA,NA,NA
1386,9,12044916,12664858,TRUE,191,1710,NA,0.000459999,NA,0.00241088,FALSE,NA,NA,NA,NA,NA,NA
1387,9,12664859,13512852,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1388,9,13512853,14244747,TRUE,311,1955,NA,0.000669766,NA,0.000621871,FALSE,NA,NA,NA,NA,NA,NA
1389,9,14244748,14902924,TRUE,380,1666,0.000344418,0.000839694,0.275776,0.000134605,FALSE,NA,NA,NA,NA,NA,NA
1390,9,14902925,15839403,TRUE,301,2083,0.000488869,0.000392753,0.176515,0.0232734,FALSE,NA,NA,NA,NA,NA,NA
1391,9,15839404,16658377,TRUE,333,1858,9.11304e-05,8.98865e-05,0.425122,0.318562,FALSE,NA,NA,NA,NA,NA,NA
1392,9,16658378,17392382,TRUE,175,2090,NA,0.000282465,NA,0.0302117,FALSE,NA,NA,NA,NA,NA,NA
1393,9,17392383,17990565,TRUE,194,1610,NA,0.000338659,NA,0.0175155,FALSE,NA,NA,NA,NA,NA,NA
1394,9,17990566,18754196,TRUE,309,1981,NA,0.000750314,NA,0.000168908,FALSE,NA,NA,NA,NA,NA,NA
1395,9,18754197,19463292,TRUE,261,1926,NA,0.000289854,NA,0.0543923,FALSE,NA,NA,NA,NA,NA,NA
1396,9,19463293,20483880,TRUE,380,2120,0.000451858,0.000572568,0.22048,0.00527354,FALSE,NA,NA,NA,NA,NA,NA
1397,9,20483881,21674032,TRUE,338,2597,0.000631392,0.000352973,0.131196,0.0437539,FALSE,NA,NA,NA,NA,NA,NA
1398,9,21674033,23091193,TRUE,417,2910,NA,0.000703126,NA,0.00147435,FALSE,NA,NA,NA,NA,NA,NA
1399,9,23091194,23859374,TRUE,331,1704,0.000176169,0.0012541,0.366666,1.96798e-08,FALSE,NA,NA,NA,NA,NA,NA
1400,9,23859375,24757729,TRUE,265,1727,NA,0.000236134,NA,0.0958323,FALSE,NA,NA,NA,NA,NA,NA
1401,9,24757730,25957606,TRUE,389,2931,0.000374034,0.000849245,0.262202,0.000144532,FALSE,NA,NA,NA,NA,NA,NA
1402,9,25957607,26747214,TRUE,279,1802,0.000205354,0.0012605,0.334812,1.79466e-09,FALSE,NA,NA,NA,NA,NA,NA
1403,9,26747215,27366479,TRUE,217,1738,NA,0.000300618,NA,0.0359963,FALSE,NA,NA,NA,NA,NA,NA
1404,9,27366480,28067454,TRUE,252,1720,0.000368086,0.000391802,0.219692,0.0158115,FALSE,NA,NA,NA,NA,NA,NA
1405,9,28067455,28766060,TRUE,276,1764,0.000148572,0.000548662,0.374842,0.00230995,FALSE,NA,NA,NA,NA,NA,NA
1406,9,28766061,29596501,TRUE,178,2661,0.000593233,0.000236,0.0772168,0.057558,FALSE,NA,NA,NA,NA,NA,NA
1407,9,29596502,30410078,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,9,30410079,31115153,TRUE,120,1716,NA,0.000156656,NA,0.100963,FALSE,NA,NA,NA,NA,NA,NA
1409,9,31115154,32253283,TRUE,175,3397,0.000190549,0.000462923,0.308557,0.00162876,FALSE,NA,NA,NA,NA,NA,NA
1410,9,32253284,33194892,TRUE,262,2246,0.0010932,0.000942918,0.0171794,1.20621e-06,TRUE,-0.260096,-0.260096,FALSE,-1,0.29776,0.3263
1411,9,33194893,34704544,TRUE,275,2926,NA,0.000672621,NA,0.000319434,FALSE,NA,NA,NA,NA,NA,NA
1412,9,34704545,36749273,TRUE,480,3372,1.9591e-05,0.000950276,0.479741,0.000113175,FALSE,NA,NA,NA,NA,NA,NA
1413,9,36749274,37687112,TRUE,312,1971,6.76922e-05,0.000185946,0.439649,0.166623,FALSE,NA,NA,NA,NA,NA,NA
1414,9,37687113,38822977,TRUE,330,2183,NA,0.000349372,NA,0.0430806,FALSE,NA,NA,NA,NA,NA,NA
1415,9,38822978,43903829,TRUE,6,43,NA,4.87672e-05,NA,0.0546691,FALSE,NA,NA,NA,NA,NA,NA
1416,9,43903830,66673058,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1417,9,66673059,70939677,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418,9,70939678,72288878,TRUE,348,2479,1.14879e-05,0.000530811,0.481877,0.00676618,FALSE,NA,NA,NA,NA,NA,NA
1419,9,72288879,73915494,TRUE,351,3659,NA,0.00111427,NA,5.46743e-07,FALSE,NA,NA,NA,NA,NA,NA
1420,9,73915495,74950318,TRUE,296,1931,0.0004938,0.000230494,0.172298,0.112028,FALSE,NA,NA,NA,NA,NA,NA
1421,9,74950319,76197744,TRUE,195,2408,0.000905329,NA,0.0214885,NA,FALSE,NA,NA,NA,NA,NA,NA
1422,9,76197745,77862308,TRUE,364,3053,NA,0.000819864,NA,0.000145633,FALSE,NA,NA,NA,NA,NA,NA
1423,9,77862309,78630915,TRUE,305,2167,NA,0.000269165,NA,0.0823473,FALSE,NA,NA,NA,NA,NA,NA
1424,9,78630916,79451035,TRUE,389,2133,0.00100587,0.000491611,0.0511056,0.0140962,FALSE,NA,NA,NA,NA,NA,NA
1425,9,79451036,80137024,TRUE,223,1741,0.000545598,0.000316688,0.117648,0.0311036,FALSE,NA,NA,NA,NA,NA,NA
1426,9,80137025,81161597,TRUE,231,2021,NA,6.21593e-05,NA,0.345185,FALSE,NA,NA,NA,NA,NA,NA
1427,9,81161598,82601465,TRUE,472,2717,0.000233661,0.000726074,0.355108,0.00189238,FALSE,NA,NA,NA,NA,NA,NA
1428,9,82601466,83455502,TRUE,223,2631,NA,0.000121236,NA,0.224112,FALSE,NA,NA,NA,NA,NA,NA
1429,9,83455503,85135751,TRUE,416,3054,NA,0.000844175,NA,0.000213508,FALSE,NA,NA,NA,NA,NA,NA
1430,9,85135752,86769886,TRUE,430,3377,NA,0.000360009,NA,0.0596341,FALSE,NA,NA,NA,NA,NA,NA
1431,9,86769887,87815449,TRUE,297,2565,NA,0.000198421,NA,0.145979,FALSE,NA,NA,NA,NA,NA,NA
1432,9,87815450,89171796,TRUE,275,2515,NA,0.000146493,NA,0.207519,FALSE,NA,NA,NA,NA,NA,NA
1433,9,89171797,90135154,TRUE,329,2372,NA,0.000301011,NA,0.0686905,FALSE,NA,NA,NA,NA,NA,NA
1434,9,90135155,90890979,TRUE,219,1890,0.000596022,0.000218135,0.0967153,0.0918704,FALSE,NA,NA,NA,NA,NA,NA
1435,9,90890980,91643255,TRUE,162,1791,0.000347678,0.000271511,0.182939,0.0305129,FALSE,NA,NA,NA,NA,NA,NA
1436,9,91643256,92500277,TRUE,230,1872,NA,0.000867013,NA,2.15186e-06,FALSE,NA,NA,NA,NA,NA,NA
1437,9,92500278,93441050,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1438,9,93441051,94175374,TRUE,233,1782,NA,0.000621579,NA,0.000393962,FALSE,NA,NA,NA,NA,NA,NA
1439,9,94175375,94924482,TRUE,196,2229,0.000340044,0.00028518,0.209153,0.0361464,FALSE,NA,NA,NA,NA,NA,NA
1440,9,94924483,95854925,TRUE,155,1982,NA,0.000459661,NA,0.001115,FALSE,NA,NA,NA,NA,NA,NA
1441,9,95854926,96670171,TRUE,202,2238,NA,0.000401493,NA,0.00757398,FALSE,NA,NA,NA,NA,NA,NA
1442,9,96670172,97418633,TRUE,166,1654,0.000236356,4.12926e-05,0.265977,0.371979,FALSE,NA,NA,NA,NA,NA,NA
1443,9,97418634,98885862,TRUE,345,2686,NA,0.000428834,NA,0.0212979,FALSE,NA,NA,NA,NA,NA,NA
1444,9,98885863,100310517,TRUE,243,2109,NA,0.000611193,NA,0.000497181,FALSE,NA,NA,NA,NA,NA,NA
1445,9,100310518,101596750,TRUE,385,2843,NA,0.000505673,NA,0.0118256,FALSE,NA,NA,NA,NA,NA,NA
1446,9,101596751,103165725,TRUE,320,2537,NA,0.00062107,NA,0.00159513,FALSE,NA,NA,NA,NA,NA,NA
1447,9,103165726,104222848,TRUE,221,2322,NA,5.89381e-05,NA,0.348211,FALSE,NA,NA,NA,NA,NA,NA
1448,9,104222849,105043411,TRUE,231,2355,NA,0.000518159,NA,0.00187959,FALSE,NA,NA,NA,NA,NA,NA
1449,9,105043412,105846545,TRUE,198,2613,9.47242e-05,4.6207e-05,0.400334,0.370054,FALSE,NA,NA,NA,NA,NA,NA
1450,9,105846546,107061019,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1451,9,107061020,108203095,TRUE,351,3115,0.000680499,NA,0.11855,NA,FALSE,NA,NA,NA,NA,NA,NA
1452,9,108203096,109150717,TRUE,189,1694,2.24817e-05,0.00063416,0.465026,9.06626e-05,FALSE,NA,NA,NA,NA,NA,NA
1453,9,109150718,110630150,TRUE,504,3221,0.00110681,0.000641198,0.0563122,0.00604508,FALSE,NA,NA,NA,NA,NA,NA
1454,9,110630151,111368107,TRUE,234,1865,NA,0.0001356,NA,0.205036,FALSE,NA,NA,NA,NA,NA,NA
1455,9,111368108,112076381,TRUE,202,1914,0.000777406,0.000727642,0.0418235,1.71681e-05,TRUE,0.171441,0.171441,FALSE,-0.55608,1,0.581181
1456,9,112076382,112865520,TRUE,294,2137,NA,5.33981e-05,NA,0.378134,FALSE,NA,NA,NA,NA,NA,NA
1457,9,112865521,113646149,TRUE,311,2259,NA,0.000281927,NA,0.0755782,FALSE,NA,NA,NA,NA,NA,NA
1458,9,113646150,114443475,TRUE,251,1933,NA,0.000314904,NA,0.041391,FALSE,NA,NA,NA,NA,NA,NA
1459,9,114443476,115390112,TRUE,213,2216,0.000154633,0.00040359,0.353572,0.00846043,FALSE,NA,NA,NA,NA,NA,NA
1460,9,115390113,116159540,TRUE,253,1820,NA,8.63596e-05,NA,0.301223,FALSE,NA,NA,NA,NA,NA,NA
1461,9,116159541,117054909,TRUE,336,2022,NA,0.000174299,NA,0.189326,FALSE,NA,NA,NA,NA,NA,NA
1462,9,117054910,117989017,TRUE,312,2251,NA,0.000466885,NA,0.0106268,FALSE,NA,NA,NA,NA,NA,NA
1463,9,117989018,119001227,TRUE,202,2232,0.000129493,0.00026364,0.371142,0.0511695,FALSE,NA,NA,NA,NA,NA,NA
1464,9,119001228,119890464,TRUE,311,2015,0.00068793,0.000483848,0.103016,0.00863533,FALSE,NA,NA,NA,NA,NA,NA
1465,9,119890465,121008529,TRUE,345,2512,0.000178081,0.000372213,0.368007,0.0375056,FALSE,NA,NA,NA,NA,NA,NA
1466,9,121008530,122677719,TRUE,385,3063,NA,0.00105147,NA,3.99955e-06,FALSE,NA,NA,NA,NA,NA,NA
1467,9,122677720,124119883,TRUE,297,1998,NA,0.000282136,NA,0.0710533,FALSE,NA,NA,NA,NA,NA,NA
1468,9,124119884,125137578,TRUE,308,2070,NA,0.000376539,NA,0.0290707,FALSE,NA,NA,NA,NA,NA,NA
1469,9,125137579,126092931,TRUE,200,1706,0.000201584,0.000307756,0.310871,0.0297888,FALSE,NA,NA,NA,NA,NA,NA
1470,9,126092932,127184582,TRUE,306,2318,0.000382132,0.000375345,0.232797,0.0286435,FALSE,NA,NA,NA,NA,NA,NA
1471,9,127184583,128785782,TRUE,235,1897,NA,0.000256847,NA,0.0686477,FALSE,NA,NA,NA,NA,NA,NA
1472,9,128785783,129617771,TRUE,363,1829,NA,0.000721137,NA,0.00061515,FALSE,NA,NA,NA,NA,NA,NA
1473,9,129617772,130902727,TRUE,252,1922,NA,0.00072892,NA,7.70226e-05,FALSE,NA,NA,NA,NA,NA,NA
1474,9,130902728,132193798,TRUE,247,1706,0.000850127,0.000853282,0.0429505,5.28652e-06,TRUE,0.758143,0.758143,FALSE,0.19674,1,0.0122911
1475,9,132193799,132999452,TRUE,302,2335,NA,0.000458227,NA,0.0113452,FALSE,NA,NA,NA,NA,NA,NA
1476,9,132999453,134141936,TRUE,404,2078,0.000142534,0.000299672,0.399512,0.0890058,FALSE,NA,NA,NA,NA,NA,NA
1477,9,134141937,135135887,TRUE,301,1762,NA,0.000760626,NA,0.000120345,FALSE,NA,NA,NA,NA,NA,NA
1478,9,135135888,136042490,TRUE,341,1991,1.7107e-05,0.000223667,0.477725,0.134274,FALSE,NA,NA,NA,NA,NA,NA
1479,9,136042491,136770926,TRUE,337,2141,NA,0.000341179,NA,0.0487569,FALSE,NA,NA,NA,NA,NA,NA
1480,9,136770927,137593527,TRUE,230,1711,NA,9.25888e-05,NA,0.281178,FALSE,NA,NA,NA,NA,NA,NA
1481,9,137593528,138202112,TRUE,381,1978,NA,0.000224042,NA,0.146888,FALSE,NA,NA,NA,NA,NA,NA
1482,9,138202113,138995791,TRUE,308,1664,NA,0.000105374,NA,0.285248,FALSE,NA,NA,NA,NA,NA,NA
1483,9,138995792,140097759,TRUE,284,1925,0.00110671,0.000408635,0.0194821,0.0169678,TRUE,0.671726,0.671726,FALSE,-0.0831,1,0.0761724
1484,9,140097760,141146682,TRUE,228,1182,0.000335,0.000460264,0.228886,0.00536969,FALSE,NA,NA,NA,NA,NA,NA
1485,10,60515,1329232,TRUE,317,2528,NA,0.000325426,NA,0.0517801,FALSE,NA,NA,NA,NA,NA,NA
1486,10,1329233,1872960,TRUE,277,1563,NA,0.000339008,NA,0.0357583,FALSE,NA,NA,NA,NA,NA,NA
1487,10,1872961,2637065,TRUE,320,2988,NA,0.000564041,NA,0.00327093,FALSE,NA,NA,NA,NA,NA,NA
1488,10,2637066,3225336,TRUE,253,1856,NA,0.000311134,NA,0.0415836,FALSE,NA,NA,NA,NA,NA,NA
1489,10,3225337,3880322,TRUE,247,1801,NA,0.000870375,NA,3.59548e-06,FALSE,NA,NA,NA,NA,NA,NA
1490,10,3880323,4813182,TRUE,342,2295,0.0005206,0.000267773,0.176816,0.0949107,FALSE,NA,NA,NA,NA,NA,NA
1491,10,4813183,5396242,TRUE,198,2271,NA,0.000190535,NA,0.109586,FALSE,NA,NA,NA,NA,NA,NA
1492,10,5396243,6234718,TRUE,425,2459,NA,7.66398e-05,NA,0.359486,FALSE,NA,NA,NA,NA,NA,NA
1493,10,6234719,6897037,TRUE,305,1658,NA,0.00044221,NA,0.013308,FALSE,NA,NA,NA,NA,NA,NA
1494,10,6897038,7659872,TRUE,355,2223,NA,0.000219805,NA,0.143241,FALSE,NA,NA,NA,NA,NA,NA
1495,10,7659873,8771920,TRUE,426,3191,2.37522e-05,NA,0.47587,NA,FALSE,NA,NA,NA,NA,NA,NA
1496,10,8771921,10081279,TRUE,301,3151,0.000636646,0.000872939,0.116408,1.53617e-05,FALSE,NA,NA,NA,NA,NA,NA
1497,10,10081280,10969481,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1498,10,10969482,11856924,TRUE,350,2132,NA,0.000508655,NA,0.00870595,FALSE,NA,NA,NA,NA,NA,NA
1499,10,11856925,12581571,TRUE,303,1824,0.000833434,0.000170086,0.062382,0.183691,FALSE,NA,NA,NA,NA,NA,NA
1500,10,12581572,13208061,TRUE,315,1713,NA,0.000280654,NA,0.0776716,FALSE,NA,NA,NA,NA,NA,NA
1501,10,13208062,14008135,TRUE,457,2213,NA,0.000547769,NA,0.0120617,FALSE,NA,NA,NA,NA,NA,NA
1502,10,14008136,14820755,TRUE,342,2431,NA,0.000562281,NA,0.00415997,FALSE,NA,NA,NA,NA,NA,NA
1503,10,14820756,15946677,TRUE,396,2789,NA,0.000912966,NA,5.73137e-05,FALSE,NA,NA,NA,NA,NA,NA
1504,10,15946678,17065860,TRUE,297,2521,0.000365056,0.000210566,0.239178,0.132187,FALSE,NA,NA,NA,NA,NA,NA
1505,10,17065861,18529742,TRUE,351,3136,9.4672e-05,0.000743434,0.424622,0.000375988,FALSE,NA,NA,NA,NA,NA,NA
1506,10,18529743,19421514,TRUE,274,2562,NA,0.00118028,NA,8.85654e-09,FALSE,NA,NA,NA,NA,NA,NA
1507,10,19421515,19965624,TRUE,130,1853,0.000571566,0.000329337,0.0565398,0.00744991,FALSE,NA,NA,NA,NA,NA,NA
1508,10,19965625,20616432,TRUE,218,1869,0.000411909,0.000379948,0.17853,0.0126493,FALSE,NA,NA,NA,NA,NA,NA
1509,10,20616433,21477692,TRUE,247,2090,NA,0.000532829,NA,0.00190168,FALSE,NA,NA,NA,NA,NA,NA
1510,10,21477693,23365685,TRUE,372,2755,NA,0.0001556,NA,0.228196,FALSE,NA,NA,NA,NA,NA,NA
1511,10,23365686,24489447,TRUE,240,2095,NA,0.000403912,NA,0.0121318,FALSE,NA,NA,NA,NA,NA,NA
1512,10,24489448,25577761,TRUE,347,2025,NA,0.0006252,NA,0.0019643,FALSE,NA,NA,NA,NA,NA,NA
1513,10,25577762,26161974,TRUE,156,1926,0.00054003,0.000149461,0.0829341,0.138062,FALSE,NA,NA,NA,NA,NA,NA
1514,10,26161975,26888716,TRUE,132,2191,0.00026502,NA,0.219269,NA,FALSE,NA,NA,NA,NA,NA,NA
1515,10,26888717,27669566,TRUE,174,2206,NA,0.000440499,NA,0.00239253,FALSE,NA,NA,NA,NA,NA,NA
1516,10,27669567,28734422,TRUE,273,2696,NA,0.000774656,NA,5.31428e-05,FALSE,NA,NA,NA,NA,NA,NA
1517,10,28734423,29393749,TRUE,225,1837,NA,0.000458449,NA,0.00437264,FALSE,NA,NA,NA,NA,NA,NA
1518,10,29393750,30000223,TRUE,254,1837,NA,0.000162574,NA,0.173617,FALSE,NA,NA,NA,NA,NA,NA
1519,10,30000224,30919469,TRUE,275,2315,NA,9.09413e-05,NA,0.299682,FALSE,NA,NA,NA,NA,NA,NA
1520,10,30919470,32457293,TRUE,304,2972,0.000723549,NA,0.0900003,NA,FALSE,NA,NA,NA,NA,NA,NA
1521,10,32457294,33655458,TRUE,236,3164,NA,0.000370195,NA,0.017772,FALSE,NA,NA,NA,NA,NA,NA
1522,10,33655459,35178224,TRUE,441,3199,NA,0.00106946,NA,9.4119e-06,FALSE,NA,NA,NA,NA,NA,NA
1523,10,35178225,36475838,TRUE,237,2376,0.000383292,0.000182402,0.204067,0.139858,FALSE,NA,NA,NA,NA,NA,NA
1524,10,36475839,37561443,TRUE,232,2376,0.000371737,0.000489827,0.208415,0.00298574,FALSE,NA,NA,NA,NA,NA,NA
1525,10,37561444,38566460,TRUE,76,2357,NA,6.76375e-05,NA,0.23047,FALSE,NA,NA,NA,NA,NA,NA
1526,10,38566461,42392742,TRUE,19,532,5.51964e-05,0.000102065,0.30678,0.0292497,FALSE,NA,NA,NA,NA,NA,NA
1527,10,42392743,42984427,TRUE,35,1057,NA,8.84408e-05,NA,0.0935608,FALSE,NA,NA,NA,NA,NA,NA
1528,10,42984428,43769842,TRUE,145,2096,NA,7.58642e-05,NA,0.272657,FALSE,NA,NA,NA,NA,NA,NA
1529,10,43769843,44893846,TRUE,278,3328,NA,0.000303702,NA,0.052571,FALSE,NA,NA,NA,NA,NA,NA
1530,10,44893847,46327144,TRUE,275,3079,0.000331725,0.000371082,0.250705,0.0242992,FALSE,NA,NA,NA,NA,NA,NA
1531,10,46327145,49197320,TRUE,200,1136,0.000548227,0.000307468,0.104922,0.028194,FALSE,NA,NA,NA,NA,NA,NA
1532,10,49197321,50145673,TRUE,227,1775,NA,0.000220483,NA,0.0934013,FALSE,NA,NA,NA,NA,NA,NA
1533,10,50145674,51724039,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1534,10,51724040,53129609,TRUE,268,2162,NA,0.000562758,NA,0.00172071,FALSE,NA,NA,NA,NA,NA,NA
1535,10,53129610,53919161,TRUE,273,2229,4.88461e-05,0.000414437,0.450205,0.0143406,FALSE,NA,NA,NA,NA,NA,NA
1536,10,53919162,55104428,TRUE,312,2845,NA,0.000519468,NA,0.00537179,FALSE,NA,NA,NA,NA,NA,NA
1537,10,55104429,55867694,TRUE,195,2273,NA,0.000352105,NA,0.0142691,FALSE,NA,NA,NA,NA,NA,NA
1538,10,55867695,57044845,TRUE,313,3332,NA,0.000393645,NA,0.024625,FALSE,NA,NA,NA,NA,NA,NA
1539,10,57044846,57955671,TRUE,132,2068,NA,0.000193765,NA,0.0664131,FALSE,NA,NA,NA,NA,NA,NA
1540,10,57955672,58809133,TRUE,92,2195,NA,2.10673e-05,NA,0.401565,FALSE,NA,NA,NA,NA,NA,NA
1541,10,58809134,59822946,TRUE,164,3152,NA,0.000426752,NA,0.00261214,FALSE,NA,NA,NA,NA,NA,NA
1542,10,59822947,61470383,TRUE,333,3044,NA,0.000179617,NA,0.182431,FALSE,NA,NA,NA,NA,NA,NA
1543,10,61470384,62626465,TRUE,286,3041,NA,0.00135068,NA,2.35751e-10,FALSE,NA,NA,NA,NA,NA,NA
1544,10,62626466,64069687,TRUE,365,3001,NA,0.00122887,NA,1.07281e-07,FALSE,NA,NA,NA,NA,NA,NA
1545,10,64069688,65400431,TRUE,256,2838,0.000926687,0.00138518,0.0334753,2.21778e-11,TRUE,0.10902,0.10902,FALSE,-0.45747,0.79345,0.660674
1546,10,65400432,66510387,TRUE,216,2049,NA,0.000549315,NA,0.000906933,FALSE,NA,NA,NA,NA,NA,NA
1547,10,66510388,67146043,TRUE,122,1830,NA,0.00021861,NA,0.0414759,FALSE,NA,NA,NA,NA,NA,NA
1548,10,67146044,67769822,TRUE,153,1946,0.000121809,0.000127532,0.360582,0.170781,FALSE,NA,NA,NA,NA,NA,NA
1549,10,67769823,68623274,TRUE,186,3076,0.000837403,0.000431829,0.0272542,0.00361126,TRUE,-0.0997198,-0.0997198,FALSE,-1,0.79646,0.780844
1550,10,68623275,69904170,TRUE,186,2455,NA,0.00037677,NA,0.00890989,FALSE,NA,NA,NA,NA,NA,NA
